VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
17035,PERNOD RICARD USA,22019,Mumm Napa Brut Rose,9.73,14.99,750.0,9424,91695.52,0,0,0,0,123780.22,-91695.52,-inf,0.0,0.0
2242,DELICATO VINEYARDS INC,44334,Noble Vines 337 Cab Svgn,7.84,11.99,750.0,11671,91500.64,0,0,0,0,7982.65,-91500.64,-inf,0.0,0.0
3252,E & J GALLO WINERY,7716,Andre Brut,3.79,5.99,750.0,24130,91452.7,0,0,0,0,61966.91,-91452.7,-inf,0.0,0.0
1587,VINEYARD BRANDS INC,8018,La Vieille Ferme Red Ventoux,4.6,6.99,750.0,19854,91328.40000000001,0,0,0,0,6070.09,-91328.40000000001,-inf,0.0,0.0
12546,JIM BEAM BRANDS COMPANY,1397,Jim Beam Kentucky Fire,10.76,16.99,750.0,8484,91287.84,0,0,0,0,123880.97,-91287.84,-inf,0.0,0.0
2561,EDRINGTON AMERICAS,2522,The Macallan 10 Yr Fine Oak,36.92,47.99,750.0,2466,91044.72,0,0,0,0,9654.5,-91044.72,-inf,0.0,0.0
3252,E & J GALLO WINERY,16806,Apothic Winemakers White,5.3,9.99,750.0,17166,90979.8,0,0,0,0,61966.91,-90979.8,-inf,0.0,0.0
3960,DIAGEO NORTH AMERICA INC,4390,Ron Zacapa 23 Yr Old Rum,33.33,45.99,750.0,2721,90690.93,0,0,0,0,257032.07,-90690.93,-inf,0.0,0.0
6213,MHW LTD,5221,RumChata Liqueur,8.59,11.99,375.0,10557,90684.63,0,0,0,0,9621.58,-90684.63,-inf,0.0,0.0
3924,HEAVEN HILL DISTILLERIES,4382,Admiral Nelson Spiced Rum,10.44,13.99,1750.0,8686,90681.84,0,0,0,0,14069.87,-90681.84,-inf,0.0,0.0
1392,CONSTELLATION BRANDS INC,2117,Black Velvet Traveler,5.88,8.99,750.0,15415,90640.2,0,0,0,0,79528.99,-90640.2,-inf,0.0,0.0
1128,BROWN-FORMAN CORP,8910,Finlandia Vodka,0.77,0.99,50.0,117443,90431.11,0,0,0,0,68601.68,-90431.11,-inf,0.0,0.0
